Name,Phone,Email,Address,Pincode,Phone_Valid,Email_Valid,Address_Valid,Pincode_Valid,Confidence_Score,Needs_Manual_Review
Gqjadp Kekpide,9414592304,invalid.email.com,116 Vqrhtjpu Street,696909,True,False,True,True,70,False
Rpczxw Usaaeoh,9878611309,rpczxw.usaaeoh@example.com,933 Mnfzijxi Street,275496,True,True,True,True,100,False
Jyzczx Cdmlslf,9435741392,jyzczx.cdmlslf@example.com,,685191,True,True,True,True,100,False
Fnfson Vxhacim,9875403626,invalid.email.com,,12a45,True,False,True,False,70,False
Bimphe Yrjnjce,9356665162,invalid.email.com,304 Jmbhphve Street,279215,True,False,True,True,70,False
Kptbsn Rbuzypm,9127468511,kptbsn.rbuzypm@example.com,281 Mvpahdqm Street,12a45,True,True,True,False,100,False
Isyjjx Tkqitwd,9074747068,isyjjx.tkqitwd@example.com,630 Ptyfisqg Street,2437,True,True,True,False,100,False
Adifqz Orxwkgx,9400119410,adifqz.orxwkgx@example.com,637 Tqpwffdk Street,528131,True,True,True,True,100,False
Yvkgao Wzmllmd,abc123,yvkgao.wzmllmd@example.com,823 Wacwwwet Street,412537,False,True,True,True,70,False
Mbztpn Skrybpf,abc123,mbztpn.skrybpf@example.com,201 Gkjlmdbb Street,565025,False,True,True,True,70,False
,9227583041,unknown.user@example.com,430 Uyryfjzy Street,395641,True,True,True,True,100,False
Wlpcmr Rzjdayv,9248194525,invalid.email.com,555 Iqexyksw Street,798361,True,False,True,True,70,False
,9671240066,unknown.user@example.com,872 Xhheenni Street,537225,True,True,True,True,100,False
,9401070599,unknown.user@example.com,,958375,True,True,True,True,100,False
Krrsty Xkyifff,9423668432,krrsty.xkyifff@example.com,344 Iguydedo Street,550611,True,True,True,True,100,False
Xjbbhi Frslncm,9302564596,xjbbhi.frslncm@example.com,520 Jfxtxeqs Street,235160,True,True,True,True,100,False
,9757784370,unknown.user@example.com,534 Qahffjja Street,377160,True,True,True,True,100,False
,9552152547,unknown.user@example.com,47 Fmaodgva Street,566800,True,True,True,True,100,False
Tjdfri Weytiqh,884354,tjdfri.weytiqh@example.com,830 Fjtizbmg Street,12a45,False,True,True,False,70,False
Ujhezw Vpzukwo,9795443663,ujhezw.vpzukwo@example.com,327 Udcthder Street,181202,True,True,True,True,100,False
Azjbik Vhdourg,9516969223,invalid.email.com,954 Fkoabmdf Street,239077,True,False,True,True,70,False
Mmdhth Mgsvjku,9308399140,mmdhth.mgsvjku@example.com,327 Fwhkvwjc Street,691818,True,True,True,True,100,False
